model	sheet_cell	supplier	sheet_product_url	retrieval_product_url	image_url	local_file	sha256	image_status	rights_status	publish_status	retrieved_at
iPhone 17 Pro Max	D2	MobileSentrix	https://www.mobilesentrix.com/wireless-nfc-charging-flex-cable-for-iphone-17-pro-max	https://www.mobilesentrix.ca/wireless-nfc-charging-flex-cable-for-iphone-17-pro-max	https://static.mobilesentrix.ca/catalog/product/image/1/7/1761378435-68fc808319a62.webp?v=4	supplier-preview-only/mobilesentrix-17-pro-max.webp	83b51f81f092bca6cdb7bbfd9a140fc7d73333faea2c4b38de468fda47eed27b	READY_PREVIEW_ONLY	UNVERIFIED	NO	2026-08-09 Asia/Taipei
iPhone 17 Pro	D3	MobileSentrix	https://www.mobilesentrix.com/wireless-nfc-charging-flex-cable-for-iphone-17-pro	https://www.mobilesentrix.ca/wireless-nfc-charging-flex-cable-for-iphone-17-pro	https://static.mobilesentrix.ca/catalog/product/image/1/7/1761377370-68fc7c5a54adf.webp?v=4	supplier-preview-only/mobilesentrix-17-pro.webp	f26c9e8dab74e30cb94ef6cb0f8378b09cd3313037d71dc817319e1fb17443bb	READY_PREVIEW_ONLY	UNVERIFIED	NO	2026-08-09 Asia/Taipei
iPhone 17 Air	D4	MobileSentrix	https://www.mobilesentrix.com/wireless-nfc-charging-flex-cable-for-iphone-air	https://www.mobilesentrix.ca/wireless-nfc-charging-flex-cable-for-iphone-air	https://static.mobilesentrix.ca/catalog/product/image/1/7/1780127144-6a1a95a88cab4.webp?v=4	supplier-preview-only/mobilesentrix-17-air.webp	b9c185104456263e58737384a2da1c23a9959af66831cd20cd38e848286427ec	READY_PREVIEW_ONLY	UNVERIFIED	NO	2026-08-09 Asia/Taipei
iPhone 17	D5	MobileSentrix	https://www.mobilesentrix.com/wireless-nfc-charging-flex-with-flashlight-flex-cable-for-iphone-17	https://www.mobilesentrix.ca/wireless-nfc-charging-flex-with-flashlight-flex-cable-for-iphone-17	https://static.mobilesentrix.ca/catalog/product/image/1/7/1761374290-68fc705216e4f.webp?v=4	supplier-preview-only/mobilesentrix-17.webp	0638903df36111f5cb43435842c06446eed9b099d6ca7973fe67d47c6fabaf5b	READY_PREVIEW_ONLY	UNVERIFIED	NO	2026-08-09 Asia/Taipei
iPhone 17e	D6	MobileSentrix	https://www.mobilesentrix.com/wireless-nfc-charging-flex-with-flashlight-flex-cable-for-iphone-17e	https://www.mobilesentrix.ca/wireless-nfc-charging-flex-with-flashlight-flex-cable-for-iphone-17e				BLOCKED_NO_PRODUCT_IMAGE	UNVERIFIED	NO	2026-08-09 Asia/Taipei
iPhone 16 Pro Max	B7	Phone LCD Parts	https://www.phonelcdparts.com/apple/iphone-parts/iphone-16-pro-max/wireless-nfc-charging-flex-with-flashlight-flex-cable-for-iphone-16-pro-max-16pm-wccf	https://www.phonelcdparts.com/apple/iphone-parts/iphone-16-pro-max/wireless-nfc-charging-flex-with-flashlight-flex-cable-for-iphone-16-pro-max-16pm-wccf	https://www.phonelcdparts.com/media/catalog/product/cache/5014dac2a594f1a753169c828e8e63b8/1/6/16pm-wccf_1.jpg	supplier-preview-only/phonelcdparts-16-pro-max.jpg	29bb52341a74c667ff54c90b9a86b8309d016dd428f02b77e37d13db57c966ab	READY_PREVIEW_ONLY	UNVERIFIED	NO	2026-08-09 Asia/Taipei
iPhone 16 Pro Max	D7	MobileSentrix	https://www.mobilesentrix.com/wireless-nfc-charging-flex-with-flashlight-flex-cable-for-iphone-16-pro-max	https://www.mobilesentrix.ca/wireless-nfc-charging-flex-with-flashlight-flex-cable-for-iphone-16-pro-max	https://static.mobilesentrix.ca/catalog/product/image/1/7/1742970010-67e39c9ae9b14.webp?v=4	supplier-preview-only/mobilesentrix-16-pro-max.webp	026191b2096d3dceefbc021815802337e6f8e2192f5a3e0d8b1d2337104f572f	READY_PREVIEW_ONLY	UNVERIFIED	NO	2026-08-09 Asia/Taipei
iPhone 16 Pro	D8	MobileSentrix	https://www.mobilesentrix.com/wireless-nfc-charging-flex-with-flashlight-flex-cable-for-iphone-16-pro	https://www.mobilesentrix.ca/wireless-nfc-charging-flex-with-flashlight-flex-cable-for-iphone-16-pro	https://static.mobilesentrix.ca/catalog/product/image/1/7/1741720218-67d08a9a74567.webp?v=4	supplier-preview-only/mobilesentrix-16-pro.webp	1f316783ca37b01ec37299c383788ecd7b1998f05d9625d77358b14eca40b679	READY_PREVIEW_ONLY	UNVERIFIED	NO	2026-08-09 Asia/Taipei
iPhone 16 Plus	D9	MobileSentrix	https://www.mobilesentrix.com/wireless-nfc-charging-flex-with-flashlight-flex-cable-for-iphone-16-plus	https://www.mobilesentrix.ca/wireless-nfc-charging-flex-with-flashlight-flex-cable-for-iphone-16-plus	https://static.mobilesentrix.ca/catalog/product/image/1/7/1742635997-67de83dd63838.webp?v=4	supplier-preview-only/mobilesentrix-16-plus.webp	720fd75faf42a3aa6716a64d9c43b7bfd235f8d323d59902269913d1b47d2d0e	READY_PREVIEW_ONLY	UNVERIFIED	NO	2026-08-09 Asia/Taipei
iPhone 16	D10	MobileSentrix	https://www.mobilesentrix.com/wireless-nfc-charging-flex-with-flashlight-flex-cable-for-iphone-16	https://www.mobilesentrix.ca/wireless-nfc-charging-flex-with-flashlight-flex-cable-for-iphone-16	https://static.mobilesentrix.ca/catalog/product/image/1/7/1741720344-67d08b181c4fa.webp?v=4	supplier-preview-only/mobilesentrix-16.webp	fe65315365aa259fd774c00a6d4759a83d5f8c16db06e06286e8028246d1ff6d	READY_PREVIEW_ONLY	UNVERIFIED	NO	2026-08-09 Asia/Taipei
iPhone 16e	row 11	NONE						BLOCKED_NO_APPROVED_SOURCE	NOT_APPLICABLE	NO	2026-08-09 Asia/Taipei
iPhone 15 Pro Max	D12	MobileSentrix	https://www.mobilesentrix.com/wireless-nfc-charging-flex-with-flashlight-flex-cable-for-iphone-15-pro-max	https://www.mobilesentrix.ca/wireless-nfc-charging-flex-with-flashlight-flex-cable-for-iphone-15-pro-max	https://static.mobilesentrix.ca/catalog/product/image/1/7/1743187974-67e6f006852c9.webp?v=4	supplier-preview-only/mobilesentrix-15-pro-max.webp	35f4a2ca1444f79aa001ec40eae04381489832a00336a98c33ee6b961df73cd9	READY_PREVIEW_ONLY	UNVERIFIED	NO	2026-08-09 Asia/Taipei
iPhone 15 Pro	D13	MobileSentrix	https://www.mobilesentrix.com/wireless-nfc-charging-flex-with-flashlight-flex-cable-for-iphone-15-pro	https://www.mobilesentrix.ca/wireless-nfc-charging-flex-with-flashlight-flex-cable-for-iphone-15-pro	https://static.mobilesentrix.ca/catalog/product/image/1/7/1749593887-6848af1facb17.webp?v=4	supplier-preview-only/mobilesentrix-15-pro.webp	b8ed6a7744f5917366d2cc6d7e8a79f4d35821bb8b8f33b679afb276f5c43841	READY_PREVIEW_ONLY	UNVERIFIED	NO	2026-08-09 Asia/Taipei
iPhone 15 Plus	D14	MobileSentrix	https://www.mobilesentrix.com/wireless-nfc-charging-flex-with-flashlight-flex-cable-for-iphone-15-plus	https://www.mobilesentrix.ca/wireless-nfc-charging-flex-with-flashlight-flex-cable-for-iphone-15-plus	https://static.mobilesentrix.ca/catalog/product/image/1/7/1741732298-67d0b9ca5aebf.webp?v=4	supplier-preview-only/mobilesentrix-15-plus.webp	07b6628e16347a34850766ec5adba1e5048dd38ea216f6d87d468ecc04f80cf0	READY_PREVIEW_ONLY	UNVERIFIED	NO	2026-08-09 Asia/Taipei
