Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,互补产品 (product.metafields.shopify--discovery--product_recommendation.complementary_products),相关产品 (product.metafields.shopify--discovery--product_recommendation.related_products),相关产品设置 (product.metafields.shopify--discovery--product_recommendation.related_products_display),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
iphone-17-back-glass-full-assembly-with-coil-a-grade,iPhone 17 Back Glass Full Assembly (With Coil) - A Grade,<p>A Grade back cover glass for iPhone 17 full assembly with MagSafe wireless charging coil preinstalled</p>,Apple,,Back Glass,a grade,false,Color,Black,,,,,,,,SKU-I17-A-GRADE-BLACK-FA,0.0,,0,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-17-black-fa.jpg,1,iPhone 17 Black back glass full assembly with charging coil,false,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-17-black-fa.jpg,lb,,,true,,,true,,,draft
iphone-17-back-glass-full-assembly-with-coil-a-grade,,,,,,,,,White,,,,,,,,SKU-I17-A-GRADE-WHITE-FA,0.0,,0,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-17-white-fa.jpg,2,iPhone 17 White back glass full assembly with charging coil,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-17-white-fa.jpg,lb,,,true,,,true,,,
iphone-17-back-glass-full-assembly-with-coil-a-grade,,,,,,,,,Mist Blue,,,,,,,,SKU-I17-A-GRADE-MISTBLUE-FA,0.0,,0,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-17-mist-blue-fa.jpg,3,iPhone 17 Mist Blue back glass full assembly with charging coil,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-17-mist-blue-fa.jpg,lb,,,true,,,true,,,
iphone-17-back-glass-full-assembly-with-coil-a-grade,,,,,,,,,Lavender,,,,,,,,SKU-I17-A-GRADE-LAVENDER-FA,0.0,,0,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-17-lavender-fa.jpg,4,iPhone 17 Lavender back glass full assembly with charging coil,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-17-lavender-fa.jpg,lb,,,true,,,true,,,
iphone-17-back-glass-full-assembly-with-coil-a-grade,,,,,,,,,Sage,,,,,,,,SKU-I17-A-GRADE-SAGE-FA,0.0,,0,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-17-sage-fa.jpg,5,iPhone 17 Sage back glass full assembly with charging coil,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-17-sage-fa.jpg,lb,,,true,,,true,,,
iphone-17-back-glass-full-assembly-with-coil-premium,iPhone 17 Back Glass Full Assembly (With Coil) - Premium,<p>Premium back cover glass for iPhone 17 full assembly with MagSafe wireless charging coil preinstalled</p>,Apple,,Back Glass,premium,false,Color,Black,,,,,,,,SKU-I17-PREMIUM-BLACK-FA,0.0,,0,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-17-black-fa.jpg,1,iPhone 17 Black back glass full assembly with charging coil,false,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-17-black-fa.jpg,lb,,,true,,,true,,,draft
iphone-17-back-glass-full-assembly-with-coil-premium,,,,,,,,,White,,,,,,,,SKU-I17-PREMIUM-WHITE-FA,0.0,,0,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-17-white-fa.jpg,2,iPhone 17 White back glass full assembly with charging coil,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-17-white-fa.jpg,lb,,,true,,,true,,,
iphone-17-back-glass-full-assembly-with-coil-premium,,,,,,,,,Mist Blue,,,,,,,,SKU-I17-PREMIUM-MISTBLUE-FA,0.0,,0,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-17-mist-blue-fa.jpg,3,iPhone 17 Mist Blue back glass full assembly with charging coil,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-17-mist-blue-fa.jpg,lb,,,true,,,true,,,
iphone-17-back-glass-full-assembly-with-coil-premium,,,,,,,,,Lavender,,,,,,,,SKU-I17-PREMIUM-LAVENDER-FA,0.0,,0,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-17-lavender-fa.jpg,4,iPhone 17 Lavender back glass full assembly with charging coil,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-17-lavender-fa.jpg,lb,,,true,,,true,,,
iphone-17-back-glass-full-assembly-with-coil-premium,,,,,,,,,Sage,,,,,,,,SKU-I17-PREMIUM-SAGE-FA,0.0,,0,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-17-sage-fa.jpg,5,iPhone 17 Sage back glass full assembly with charging coil,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-17-sage-fa.jpg,lb,,,true,,,true,,,
