claim	absolute_path	classification	prior_session_patch_lines	pre_audit_correction_sha256	current_sha256	git_commit	deployed	indexed	measured	performance_verified
SEO/GEO operating plan with embedded public technical research	/Users/jason/Desktop/Michael's back glass business/10-knowledge/SEO-GEO.md	PLAN	411,596,609	1329cf24887551f8d5b991770fb95307ce30a6ad741bc8e57774906bacf8111b	499dbc9fb132a3789d031d58609abc20e21cc55a7bc0b33964c24d9c51dbef95	NONE — business root is not a Git repo; app repo has no commits and all files are untracked	NOT VERIFIED; no deployment evidence	NOT VERIFIED; no GSC URL Inspection/indexing export	NOT VERIFIED; no GSC/GA4 performance export	NOT VERIFIED; cross-system traffic gate unmet
Navigation link to SEO/GEO plan	/Users/jason/Desktop/Michael's back glass business/README.md	PLAN	411	f6ed5debe5908e976fc934796d2489ef72f6bc84645a28722c5fbd7bd7a3ca07	f6ed5debe5908e976fc934796d2489ef72f6bc84645a28722c5fbd7bd7a3ca07	NONE — business root is not a Git repo; app repo has no commits and all files are untracked	NOT VERIFIED; no deployment evidence	NOT VERIFIED; no GSC URL Inspection/indexing export	NOT VERIFIED; no GSC/GA4 performance export	NOT VERIFIED; cross-system traffic gate unmet
Product/market context	/Users/jason/Desktop/Michael's back glass business/01-software/backglass-ecommerce/.agents/product-marketing.md	RESEARCH	508	0ca1ce3f160a56099a6006edbcbeb6a428f8472cc326e180bacd56d2d5ae2339	86ea896bcc24db945513b93d0c671eeb30a05a7938b52412e90480aee394bdaa	NONE — business root is not a Git repo; app repo has no commits and all files are untracked	NOT VERIFIED; no deployment evidence	NOT VERIFIED; no GSC URL Inspection/indexing export	NOT VERIFIED; no GSC/GA4 performance export	NOT VERIFIED; cross-system traffic gate unmet
Competitor discovery notes/profile	/Users/jason/Desktop/Michael's back glass business/10-knowledge/competitor-profiles/raw/parts4cells/2026-08-07/scrapes/homepage.md	RESEARCH	560	c6d52a5bbf3e46ab482d22fd78fa3076c26646024ea92f0efef702fb6848881c	c6d52a5bbf3e46ab482d22fd78fa3076c26646024ea92f0efef702fb6848881c	NONE — business root is not a Git repo; app repo has no commits and all files are untracked	NOT VERIFIED; no deployment evidence	NOT VERIFIED; no GSC URL Inspection/indexing export	NOT VERIFIED; no GSC/GA4 performance export	NOT VERIFIED; cross-system traffic gate unmet
Competitor discovery notes/profile	/Users/jason/Desktop/Michael's back glass business/10-knowledge/competitor-profiles/raw/parts4cells/2026-08-07/scrapes/back-glass-product.md	RESEARCH	560	f099e63fce81f316c864ffe0497e16b3debc3135a16e1245267d5d2bb906c2ab	f099e63fce81f316c864ffe0497e16b3debc3135a16e1245267d5d2bb906c2ab	NONE — business root is not a Git repo; app repo has no commits and all files are untracked	NOT VERIFIED; no deployment evidence	NOT VERIFIED; no GSC URL Inspection/indexing export	NOT VERIFIED; no GSC/GA4 performance export	NOT VERIFIED; cross-system traffic gate unmet
Competitor discovery notes/profile	/Users/jason/Desktop/Michael's back glass business/10-knowledge/competitor-profiles/raw/phonelcdparts/2026-08-07/scrapes/about.md	RESEARCH	560	90b3edd5f3154a05e86ecb9af1ef8c67e110a4cc037df6cab4563005f171c294	90b3edd5f3154a05e86ecb9af1ef8c67e110a4cc037df6cab4563005f171c294	NONE — business root is not a Git repo; app repo has no commits and all files are untracked	NOT VERIFIED; no deployment evidence	NOT VERIFIED; no GSC URL Inspection/indexing export	NOT VERIFIED; no GSC/GA4 performance export	NOT VERIFIED; cross-system traffic gate unmet
Competitor discovery notes/profile	/Users/jason/Desktop/Michael's back glass business/10-knowledge/competitor-profiles/raw/mobilesentrix/2026-08-07/scrapes/iphone-parts.md	RESEARCH	560	cd400c6263bf77337d3ef4de151b4bec6f4a107ac4cc5b1778f1f6debece2a59	bf1fa9583db9bd4c70b26622b47e8bf69a6e845897fd1b07f432746e6bffcd9c	NONE — business root is not a Git repo; app repo has no commits and all files are untracked	NOT VERIFIED; no deployment evidence	NOT VERIFIED; no GSC URL Inspection/indexing export	NOT VERIFIED; no GSC/GA4 performance export	NOT VERIFIED; cross-system traffic gate unmet
Competitor discovery notes/profile	/Users/jason/Desktop/Michael's back glass business/10-knowledge/competitor-profiles/raw/phonelcdparts/2026-08-07/scrapes/homepage.md	RESEARCH	560	67ce9721b8db9fc0241fbd8bbace6ef158006490c6ae24f58e9da3e647c03d60	67ce9721b8db9fc0241fbd8bbace6ef158006490c6ae24f58e9da3e647c03d60	NONE — business root is not a Git repo; app repo has no commits and all files are untracked	NOT VERIFIED; no deployment evidence	NOT VERIFIED; no GSC URL Inspection/indexing export	NOT VERIFIED; no GSC/GA4 performance export	NOT VERIFIED; cross-system traffic gate unmet
Competitor discovery notes/profile	/Users/jason/Desktop/Michael's back glass business/10-knowledge/competitor-profiles/raw/parts4cells/2026-08-07/scrapes/content.md	RESEARCH	560	bf207befe3345ba2ebb439aae80cb274ece2be73c184006d58ba0ba0632167b0	bf207befe3345ba2ebb439aae80cb274ece2be73c184006d58ba0ba0632167b0	NONE — business root is not a Git repo; app repo has no commits and all files are untracked	NOT VERIFIED; no deployment evidence	NOT VERIFIED; no GSC URL Inspection/indexing export	NOT VERIFIED; no GSC/GA4 performance export	NOT VERIFIED; cross-system traffic gate unmet
Competitor discovery notes/profile	/Users/jason/Desktop/Michael's back glass business/10-knowledge/competitor-profiles/raw/mobilesentrix/2026-08-07/scrapes/homepage.md	RESEARCH	560	4a3e0b4a7796498f9d8debf548a7a5218ef21d8f4dc3490279885ea642ded22e	4a3e0b4a7796498f9d8debf548a7a5218ef21d8f4dc3490279885ea642ded22e	NONE — business root is not a Git repo; app repo has no commits and all files are untracked	NOT VERIFIED; no deployment evidence	NOT VERIFIED; no GSC URL Inspection/indexing export	NOT VERIFIED; no GSC/GA4 performance export	NOT VERIFIED; cross-system traffic gate unmet
